dataproduct_type,calib_level,obs_collection,obs_id,target_name,s_ra,s_dec,t_min,t_max,t_exptime,wavelength_region,filters,em_min,em_max,target_classification,obs_title,t_obs_release,instrument_name,proposal_pi,proposal_id,proposal_type,project,sequence_number,provenance_name,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,intentType,obsid,objID
spectrum,3,JWST,jw01214-o002_s03804_nirspec_f170lp-g235h,WIDE2024,150.0931333,2.381902778,60286.86696,60286.94876,1604.778,INFRARED,F170LP;G235H,1660,5000,,NIRSpec WIDE MOS Survey - COSMOS,60653.33959,NIRSPEC/MSA,"Luetzgendorf, Nora",1214,GTO,JWST,-999,CALJWST,POLYGON 150.111985078 2.405338244 150.112806855 2.405338244 150.112806855 2.405058202 150.111985078 2.405058202,mast:JWST/product/jw01214-o002_s03804_nirspec_f170lp-g235h_cal.jpg,mast:JWST/product/jw01214-o002_s03804_nirspec_f170lp-g235h_s2d.fits,EXCLUSIVE_ACCESS,False,NaN,science,198539629,563581743
spectrum,3,JWST,jw02738-c1004_s03561_niriss_f200w-gr150r,JWST-NEP-TDS-FIELD,260.6995667,65.82265,59996.32809,60094.48384,687.153,Infrared,GR150R;F200W,800,2300,Unidentified; Infrared sources; Radio sources; Variable radiation sources; Visible sources; X-ray sources,JWST Medium-Deep Fields -- Windhorst/Hammel GTO North Ecliptic Pole Fields,60462.03392,NIRISS/WFSS,"Windhorst, Rogier A.",2738,GTO,JWST,-999,CALJWST,POLYGON 260.74448006 65.80377953 260.65370412 65.80396258 260.65456027 65.84146562 260.74544824 65.84125147 260.74448006 65.80377953,mast:JWST/product/jw02738-c1004_s03561_niriss_f200w-gr150r_cal.jpg,mast:JWST/product/jw02738-c1004_s03561_niriss_f200w-gr150r_x1d.fits,PUBLIC,False,NaN,science,213008553,442773443
spectrum,3,JWST,jw01243-o012_s01487_nircam_f356w-grismr,J1030+0524,157.6128792,5.415305556,60094.9184,60097.70575,365.05,INFRARED,F356W;GRISMR,3140,3980,Galaxy; Quasars,Exploring the End of Cosmic Reionization,60467.29617,NIRCAM/GRISM,"Lilly, Simon J.",1243,GTO,JWST,-999,CALJWST,POLYGON 157.63112952 5.39713028 157.59464276 5.39732751 157.59506022 5.43327474 157.63069532 5.43333863 157.63112952 5.39713028,mast:JWST/product/jw01243-o012_s01487_nircam_f356w-grismr_cal.jpg,mast:JWST/product/jw01243-o012_s01487_nircam_f356w-grismr_x1d.fits,PUBLIC,False,NaN,science,214415822,564000900
image,2,JWST,jw01243002002_04101_00003_nrca2,J1148+5251,177.0691667,52.86388889,59939.36941,59939.37376,365.05,Infrared,F200W,1755,2226,Galaxy; Quasars,Exploring the End of Cosmic Reionization,60306.85937,NIRCAM/IMAGE,"Lilly, Simon J.",1243,GTO,JWST,-999,CALJWST,POLYGON 177.089678622 52.872630257 177.061017162 52.875714396 177.065915598 52.892861519 177.094575232 52.889970092,mast:JWST/product/jw01243002002_04101_00003_nrca2_cal.jpg,mast:JWST/product/jw01243002002_04101_00003_nrca2_cal.fits,PUBLIC,False,NaN,science,107457489,424124072
spectrum,3,JWST,jw01090-o001_s04949_niriss_f158m-gr150r,SMP-LMC-58,81.08652083,-70.08375556,59731.82432,59731.83238,107.368,INFRARED,GR150R;F158M,800,2200,Calibration; Planetary nebulae; Wavelength,NIRISS GR150C/R Wavelength Calibration,59774.85417,NIRISS/WFSS,"Martel, Andre",1090,COM,JWST,-999,CALJWST,POLYGON 81.14060943 -70.10261127 81.03129007 -70.10242759 81.03249775 -70.06492517 81.14159545 -70.06513874 81.14060943 -70.10261127,mast:JWST/product/jw01090-o001_s04949_niriss_f158m-gr150r_cal.jpg,mast:JWST/product/jw01090-o001_s04949_niriss_f158m-gr150r_x1d.fits,PUBLIC,False,NaN,science,217676960,563897490
image,-1,JWST,jw03293001003_xx115_00017_nircam,ACO-S-1063,342.1838775,-44.53263889,NaN,NaN,837.468,Infrared,F115W;F444W,1013,4986,,JWSTs GLIMPSE: gravitational lensing & NIRCam imaging to probe early galaxy formation and sources of reionization,NaN,NIRCAM/IMAGE,"Atek, Hakim",3293,GO,JWST,41,APT,POLYGON 342.1919517994 -44.55523576356 342.15036293608 -44.53300028145 342.18130228234 -44.50400732479 342.22213108725 -44.52545494725,,,PUBLIC,False,NaN,science,213502846,417638204
image,2,JWST,jw03990279001_06201_00003_nrca3,UNKNOWN,186.7456465,21.93424167,60467.95393,60467.96511,944.836,Infrared,F150W,1331,1668,,A NIRCam Pure-Parallel Imaging Survey of Galaxies Across the Universe,60471.50451,NIRCAM/IMAGE,"Morishita, Takahiro",3990,GO,JWST,-999,CALJWST,POLYGON 186.742358554 21.946616169 186.758822821 21.937175247 186.748943073 21.922054955 186.732430905 21.931231454,mast:JWST/product/jw03990279001_06201_00003_nrca3_cal.jpg,mast:JWST/product/jw03990279001_06201_00003_nrca3_cal.fits,PUBLIC,False,NaN,science,215754108,445061445
spectrum,3,JWST,jw01208-o047_s00246_nirspec_clear-prism,macs0416_clu_nirspec_targets_v1,64.04603458,-24.07728333,60178.58631,60178.73416,2844.834,Infrared,CLEAR;PRISM,600,5300,,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,60544.9884,NIRSPEC/MSA,"Willott, Chris J.",1208,GTO,JWST,-999,CALJWST,POLYGON 64.060944343 -24.118236447 64.061473141 -24.118236447 64.061473141 -24.118922806 64.060944343 -24.118922806,mast:JWST/product/jw01208-o047_s00246_nirspec_clear-prism_cal.jpg,mast:JWST/product/jw01208-o047_s00246_nirspec_clear-prism_s2d.fits,EXCLUSIVE_ACCESS,False,NaN,science,171441895,425418351
image,-1,JWST,jw06607049001_xx102_00002_miri,BD+60-1753,261.2178142,60.43076389,NaN,NaN,4.193,INFRARED,F770W,6600,8800,,CAL-XCAL-304: Absolute Flux Calibration (Repeatability),NaN,MIRI/IMAGE,"Gordon, Karl D.",6607,CAL,JWST,2,APT,POLYGON 261.22564792885 60.42594440208 261.20972588135 60.42658236653 261.21107693391 60.43437122169 261.22698479144 60.43373368029,,,PUBLIC,False,NaN,science,213018989,496701675
spectrum,-1,JWST,jw04532003001_xx103_00003_nirspec,SBS-0335-052-NIRSPEC,54.43325,-5.044083333,NaN,NaN,248.011,INFRARED,F100LP;G140H,810,5000,,Spectroscopy of SBS0335-052,NaN,NIRSPEC/IFU,"Oestlin, Goeran",4532,GTO,JWST,3,APT,POLYGON 54.43324716773 -5.04475097337 54.43266143032 -5.04408031218 54.43330611888 -5.04350788131 54.43389189114 -5.04417832775,,,PUBLIC,False,NaN,science,150334757,455335129
cube,3,JWST,jw02151-c1007_t006_miri_ch1-shortmediumlong,SER-EMB-7,277.2252667,0.491469444,60071.49594,60071.70178,6498.06,INFRARED,CH1,4900,7650,ISM; Protostars,Blazing the trail of COMs from ice to gas,60437.98892,MIRI/IFU,"Yang, Yao-Lun",2151,GO,JWST,-999,CALJWST,POLYGON 277.224431508 0.490758818 277.224431508 0.492203262 277.22609268 0.492203262 277.22609268 0.490758818,mast:JWST/product/jw02151-c1007_t006_miri_ch1-shortmediumlong_s3d.jpg,mast:JWST/product/jw02151-c1007_t006_miri_ch1-shortmediumlong_s3d.fits,PUBLIC,False,NaN,science,135731272,540912963
spectrum,3,JWST,jw02282-o021_s30681_nirspec_clear-prism,WHL0137-MSA,24.34723333,-8.444561111,59939.52315,59939.60045,3720.168,INFRARED,CLEAR;PRISM,600,5300,,A Strongly Magnified Individual Star and Parsec-Scale Clusters Observed in the First Billion Years at z = 6,59940.30355,NIRSPEC/MSA,"Coe, Dan",2282,GO,JWST,-999,CALJWST,POLYGON 24.361505022 -8.427543631 24.361588538 -8.427543631 24.361588538 -8.427814012 24.361505022 -8.427814012,mast:JWST/product/jw02282-o021_s30681_nirspec_clear-prism_cal.jpg,mast:JWST/product/jw02282-o021_s30681_nirspec_clear-prism_s2d.fits,PUBLIC,False,NaN,science,107458208,446744864
spectrum,3,JWST,jw01208-o008_s00115_niriss_f200w-gr150c,MACSJ1149+2223,177.399375,22.39827222,60076.78918,60076.85985,901.889,INFRARED,GR150C;F200W,800,2300,Clusters of Galaxies; Rich clusters,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,60443.78737,NIRISS/WFSS,"Willott, Chris J.",1208,GTO,JWST,-999,CALJWST,POLYGON 177.41928272 22.37940712 177.37904669 22.3795904 177.37944986 22.41709322 177.41968773 22.41687929 177.41928272 22.37940712,mast:JWST/product/jw01208-o008_s00115_niriss_f200w-gr150c_cal.jpg,mast:JWST/product/jw01208-o008_s00115_niriss_f200w-gr150c_x1d.fits,PUBLIC,False,NaN,science,214420642,563625639
image,-1,JWST,jw05594025001_xx106_00006_nircam,A611,120.236625,36.05664444,NaN,NaN,203.999,Infrared,F150W2;F322W2,1008,4013,,JWST Cluster SLICE - Strong LensIng and Cluster Evolution,NaN,NIRCAM/IMAGE,"Mahler, Guillaume",5594,SURVEY,JWST,6,APT,POLYGON 120.25683409785 36.03860714735 120.21101132209 36.03884345825 120.21159305292 36.07527196207 120.25633312182 36.07534179225,,,PUBLIC,False,NaN,science,213022692,421626750
spectrum,3,JWST,jw02078-o017_s00527_nircam_f356w-grismr,J1058P2930,164.5321667,29.51158333,60061.18452,60061.22242,472.418,INFRARED,F356W;GRISMR,3140,3980,Galaxy; High-redshift galaxies; Quasars,A SPectroscopic survey of biased halos In the Reionization Era (ASPIRE): A JWST Quasar Legacy Survey,60428.08999,NIRCAM/GRISM,"Wang, Feige",2078,GO,JWST,-999,CALJWST,POLYGON 164.55302209 29.49364837 164.51135278 29.49342338 164.51177632 29.52957344 164.55247719 29.52952623 164.55302209 29.49364837,mast:JWST/product/jw02078-o017_s00527_nircam_f356w-grismr_cal.jpg,mast:JWST/product/jw02078-o017_s00527_nircam_f356w-grismr_x1d.fits,PUBLIC,False,NaN,science,213012838,563997873
image,-1,JWST,jw04793004001_xx10o_00008_nircam,NGC-1637,70.36746958,-2.857963889,NaN,NaN,203.999,Infrared,F212N;F360M,2109,3814,,Unveiling the physics that govern massive star-formation in extragalactic Central Molecular Zones (eCMZs),NaN,NIRCAM/IMAGE,"Schinnerer, Eva",4793,GO,JWST,24,APT,POLYGON 70.38709821094 -2.87274287306 70.3499984064 -2.87250556837 70.35047931493 -2.83607719531 70.38668454005 -2.83600831896,,,PUBLIC,False,NaN,science,212591368,393348994
image,2,JWST,jw02211006001_04201_00001_nrcb2,UNKNOWN,246.6919472,-24.704163,60183.83758,60183.83857,75.157,Infrared,F200W,1755,2226,,A pure parallel survey of water in the asteroid belt,60183.94515,NIRCAM/IMAGE,"Trilling, David E.",2211,GO,JWST,-999,CALJWST,POLYGON 246.683915792 -24.693863046 246.703200251 -24.696946996 246.700020098 -24.714292861 246.68064478 -24.711444133,mast:JWST/product/jw02211006001_04201_00001_nrcb2_cal.jpg,mast:JWST/product/jw02211006001_04201_00001_nrcb2_cal.fits,PUBLIC,False,NaN,science,172147445,404775419
spectrum,3,JWST,jw01243-o002_s04628_nircam_f356w-grismr,J1148+5251,177.0691667,52.86388889,59939.13078,59941.50472,365.05,INFRARED,F356W;GRISMR,3140,3980,Galaxy; Quasars,Exploring the End of Cosmic Reionization,60307.14752,NIRCAM/GRISM,"Lilly, Simon J.",1243,GTO,JWST,-999,CALJWST,POLYGON 177.09925035 52.84571009 177.03910585 52.84590732 177.03977139 52.8818547 177.09855738 52.88191859 177.09925035 52.84571009,mast:JWST/product/jw01243-o002_s04628_nircam_f356w-grismr_cal.jpg,mast:JWST/product/jw01243-o002_s04628_nircam_f356w-grismr_x1d.fits,PUBLIC,False,NaN,science,214416328,563918043
image,2,JWST,jw03990100001_02201_00010_nrcalong,UNKNOWN,70.39948583,-46.03577047,60348.27775,60348.29241,1245.465,Infrared,F410M,3864,4301,,A NIRCam Pure-Parallel Imaging Survey of Galaxies Across the Universe,60348.55918,NIRCAM/IMAGE,"Morishita, Takahiro",3990,GO,JWST,-999,CALJWST,POLYGON 70.364838835 -46.0268962 70.412337977 -46.012136079 70.433638301 -46.044301103 70.386979244 -46.059734385,mast:JWST/product/jw03990100001_02201_00010_nrcalong_cal.jpg,mast:JWST/product/jw03990100001_02201_00010_nrcalong_cal.fits,PUBLIC,False,NaN,science,210677135,407291695
spectrum,3,JWST,jw01181-o010_s00619_nirspec_f290lp-g395h,21_3_23_mediumjwst_trim_ta5,189.2135646,62.21797222,60064.77999,60065.29452,9190.998,Infrared,F290LP;G395H,2870,5140,,NIRCam-NIRSpec galaxy assembly survey - GOODS-N,60431.92575,NIRSPEC/MSA,"Eisenstein, Daniel J.",1181,GTO,JWST,-999,CALJWST,POLYGON 189.156622354 62.221700434 189.158372389 62.221700434 189.158372389 62.221423618 189.156622354 62.221423618,mast:JWST/product/jw01181-o010_s00619_nirspec_f290lp-g395h_cal.jpg,mast:JWST/product/jw01181-o010_s00619_nirspec_f290lp-g395h_s2d.fits,PUBLIC,False,NaN,science,131802350,427757754
spectrum,3,JWST,jw01208-o006_s00486_niriss_f200w-gr150c,MACSJ0417.5-1154,64.39645208,-11.91067778,59865.85976,59865.93041,901.889,INFRARED,GR150C;F200W,800,2300,Clusters of Galaxies; Rich clusters,CANUCS: The CAnadian NIRISS Unbiased Cluster Survey,60231.07782,NIRISS/WFSS,"Willott, Chris J.",1208,GTO,JWST,-999,CALJWST,POLYGON 64.41526676 -11.92954104 64.37723994 -11.92935768 64.37762866 -11.89185493 64.41564172 -11.8920688 64.41526676 -11.92954104,mast:JWST/product/jw01208-o006_s00486_niriss_f200w-gr150c_cal.jpg,mast:JWST/product/jw01208-o006_s00486_niriss_f200w-gr150c_x1d.fits,PUBLIC,False,NaN,science,214439416,563863747
image,3,JWST,jw03445-o007_t007_miri_f560w,SQ-MRS-SKY-BACKGROUND,338.9659583,33.96733333,60255.64435,60255.68472,3153.468,INFRARED,F560W,5000,6200,Galaxy; Galaxy halos; Interacting galaxies,Shaken and Stirred:  Shocks and Turbulence in the Stephans Quintet Warm Molecular Filament,60622.05337,MIRI/IMAGE,"Appleton, Philip N.",3445,GO,JWST,-999,CALJWST,POLYGON 338.929648588 33.965393586 338.967682883 33.962575701 338.96426637 33.930908213 338.926246112 33.93372505,mast:JWST/product/jw03445-o007_t007_miri_f560w_i2d.jpg,mast:JWST/product/jw03445-o007_t007_miri_f560w_i2d.fits,EXCLUSIVE_ACCESS,False,NaN,science,191031208,553998852
spectrum,3,JWST,jw01213-o004_s02632_nirspec_clear-prism,P2020,214.8860754,52.84597222,60012.20388,60012.26052,2407.167,INFRARED,CLEAR;PRISM,600,5300,,NIRSpec WIDE MOS Survey - AEGIS,60378.63219,NIRSPEC/MSA,"Luetzgendorf, Nora",1213,GTO,JWST,-999,CALJWST,POLYGON 214.840158078 52.825379103 214.840560595 52.825379103 214.840560595 52.824569465 214.840158078 52.824569465,mast:JWST/product/jw01213-o004_s02632_nirspec_clear-prism_cal.jpg,mast:JWST/product/jw01213-o004_s02632_nirspec_clear-prism_s2d.fits,PUBLIC,False,NaN,science,128214445,563222134
spectrum,3,JWST,jw01895-o001_s04802_nircam_f444w-grismr,GOODS-S-CENTER,53.1274125,-27.8012,59896.33988,59901.93341,880.415,INFRARED,F444W;GRISMR,3880,4986,Unidentified; Blank field,FRESCO: The First Reionization Epoch Spectroscopic COmplete Survey,60055.22953,NIRCAM/GRISM,"Oesch, Pascal",1895,GO,JWST,-999,CALJWST,POLYGON 53.14795633 -27.81937348 53.10688441 -27.81917626 53.10736216 -27.78322911 53.14745969 -27.78316522 53.14795633 -27.81937348,mast:JWST/product/jw01895-o001_s04802_nircam_f444w-grismr_cal.jpg,mast:JWST/product/jw01895-o001_s04802_nircam_f444w-grismr_x1d.fits,PUBLIC,False,NaN,science,213021200,563908578
